Metric,Value
Start Date: ,2024-11-26 12:10:00
Stop Date:  ,2024-12-26 05:25:00
Ratio positive profit to all trades (%): ,52.05
Ratio positive profit to long trades (%): ,52.05
Ratio positive profit to short trades (%): ,0
Total positive trades: ,38
Total positive trades (long):  ,38
Total positive trades (short): ,0
Total profit (long): ,3.246106643223058
Total loss  (long): ,-1.9051451942664215
Ratio (%) profit/loss (long): ,170.39
PL (long): ,1.3409614489566366
Total profit (short): ,0
Total loss  (short): ,0
Ratio (%) profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,53.42
Max profit trade: ,0.291398574856921
Max loss trade: ,-0.3693340982890076
Max profit trade (long): ,0.291398574856921
Max loss trade (long): ,-0.3693340982890076
Max profit trade (short): ,
Max loss trade (short): ,
Max duration (long): ,115
Mean duration (long): ,13.47
Max duration  (short): ,
Mean duration (short): ,
Balance: ,11.340961448956637
Total Deals: ,73
