,type,open_ts,open_price,close_ts,close_price,duration,profit,diff_PCT,balance
0,long,2024-11-24 13:45:00,0.4189,2024-11-24 13:55:00,0.41847,2,-0.02817830031033643,-0.10264979708760706,9.971821699689663
1,long,2024-11-26 12:10:00,0.37929,2024-11-26 12:15:00,0.37716,1,-0.060101146611514195,-0.5615755754172324,9.91172055307815
2,long,2024-11-26 12:35:00,0.37282,2024-11-26 12:55:00,0.37187,4,-0.03847649523224678,-0.25481465586610336,9.873244057845902
3,long,2024-12-02 09:45:00,0.41147,2024-12-02 09:50:00,0.41345,1,0.012490072446832947,0.4812015456776878,9.885734130292734
4,long,2024-12-02 10:15:00,0.41029,2024-12-02 10:25:00,0.41052,2,-0.01688470571177791,0.05605791025859952,9.868849424580956
5,long,2024-12-09 21:40:00,0.41843,2024-12-09 22:35:00,0.40347,11,-0.2674641688668724,-3.5752694596467816,9.601385255714083
6,long,2024-12-09 22:40:00,0.40358,2024-12-09 23:50:00,0.41409,14,0.15468905076022152,2.6041924773279197,9.756074306474305
7,long,2024-12-10 17:05:00,0.38132,2024-12-10 17:20:00,0.378,3,-0.0798878493289152,-0.8706598132801819,9.67618645714539
8,long,2024-12-10 17:30:00,0.3766,2024-12-10 20:15:00,0.38824,33,0.1888216061180823,3.090812533191711,9.865008063263472
9,long,2024-12-18 20:50:00,0.36316,2024-12-18 21:35:00,0.3624,9,-0.035153503675243114,-0.2092741491353626,9.82985455958823
10,long,2024-12-18 21:40:00,0.36305,2024-12-18 23:35:00,0.35806,23,-0.11512374758343982,-1.3744663269522088,9.71473081200479
11,long,2024-12-19 03:45:00,0.36292,2024-12-19 03:50:00,0.36392,1,-0.0016819022549873202,0.2755428193541279,9.713048909749803
12,long,2024-12-19 16:25:00,0.349,2024-12-19 16:30:00,0.34897,1,-0.020981271057401506,-0.00859598853867464,9.692067638692402
13,long,2024-12-19 16:35:00,0.35255,2024-12-19 16:45:00,0.35147,2,-0.0411160024630851,-0.30633952630831657,9.650951636229317
14,long,2024-12-19 18:30:00,0.31349,2024-12-19 21:30:00,0.31973,36,0.11406966745534286,1.9904941146448127,9.76502130368466
