Metric,Value
Start Date: ,2024-11-26 12:35:00
Stop Date:  ,2024-12-25 17:05:00
Ratio positive profit to all trades (%): ,53.52
Ratio positive profit to long trades (%): ,53.52
Ratio positive profit to short trades (%): ,0
Total positive trades: ,38
Total positive trades (long):  ,38
Total positive trades (short): ,0
Total profit (long): ,3.255279467465892
Total loss  (long): ,-1.8556367425685745
Ratio profit/loss (long): ,1.75
PL (long): ,1.3996427248973176
Total profit (short): ,0
Total loss  (short): ,0
Ratio profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,54.93
Max profit trade: ,0.2922220068034206
Max loss trade: ,-0.3703777598635782
Max profit trade (long): ,0.2922220068034206
Max loss trade (long): ,-0.3703777598635782
Max profit trade (short): ,
Max loss trade (short): ,
Max duration (long): ,115
Mean duration (long): ,13.79
Max duration  (short): ,
Mean duration (short): ,
Balance: ,11.399642724897321
Total Deals: ,71
