Metric,Value
Start Date: ,2024-12-23 10:30:00
Stop Date:  ,
Ratio positive profit to all trades (%): ,50.0
Ratio positive profit to long trades (%): ,50.0
Ratio positive profit to short trades (%): ,0
Total positive trades: ,1
Total positive trades (long):  ,1
Total positive trades (short): ,0
Total profit (long): ,0.12752389380530973
Total loss  (long): ,0
Ratio (%) profit/loss (long): ,inf
PL (long): ,0.12752389380530973
Total profit (short): ,0
Total loss  (short): ,0
Ratio (%) profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,50.0
Max profit trade: ,0.12752389380530973
Min profit trade: ,0.12752389380530973
Max profit trade (long): ,0.12752389380530973
Min profit trade (long): ,0.12752389380530973
Max profit trade (short): ,
Min profit trade (short): ,
Max duration (long): ,102
Mean duration (long): ,102.0
Max duration  (short): ,
Mean duration (short): ,
Balance: ,
Total Deals: ,2
