Metric,Value
Start Date: ,2024-11-26 23:10:00
Stop Date:  ,2024-12-18 07:00:00
Ratio positive profit to all trades (%): ,33.33
Ratio positive profit to long trades (%): ,33.33
Ratio positive profit to short trades (%): ,0
Total positive trades: ,1
Total positive trades (long):  ,1
Total positive trades (short): ,0
Total profit (long): ,0.035513419201662975
Total loss  (long): ,-0.07411278184413717
Ratio (%) profit/loss (long): ,47.92
PL (long): ,-0.03859936264247419
Total profit (short): ,0
Total loss  (short): ,0
Ratio (%) profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,66.67
Max profit trade: ,0.035513419201662975
Min profit trade: ,-0.07400696613019507
Max profit trade (long): ,0.035513419201662975
Min profit trade (long): ,-0.07400696613019507
Max profit trade (short): ,
Min profit trade (short): ,
Max duration (long): ,9
Mean duration (long): ,6.0
Max duration  (short): ,
Mean duration (short): ,
Balance: ,9.961400637357526
Total Deals: ,3
