index,type,open_ts,open_price,close_ts,close_price,duration,profit,balance
0,long,2024-11-15 02:55:00,0.37364,2024-11-15 14:10:00,0.36652,675.0,-0.19055775612889453,9.809442243871105
1,long,2024-11-15 18:45:00,0.361,2024-11-16 09:30:00,0.37401,885.0,0.3535203423622252,10.16296258623333
2,long,2024-11-17 16:55:00,0.36771,2024-11-17 22:05:00,0.35437,310.0,-0.36869794376098625,9.794264642472344
3,long,2024-11-17 23:35:00,0.36407,2024-11-19 20:35:00,0.39698,2700.0,0.8853496563401675,10.679614298812512
4,long,2024-11-21 17:35:00,0.38586,2024-11-23 16:25:00,0.43002,2810.0,1.2222354414439458,11.901849740256457
5,long,2024-11-24 20:45:00,0.42375,2024-11-25 14:55:00,0.40468,1090.0,-0.5356183470128402,11.366231393243618
6,long,2024-11-26 22:15:00,0.38559,2024-12-01 10:40:00,0.42263,6505.0,1.0918468082827455,12.458078201526364
7,long,2024-12-01 13:30:00,0.42398,2024-12-02 04:00:00,0.44304,870.0,0.5600522914314168,13.01813049295778
8,long,2024-12-02 23:05:00,0.42378,2024-12-03 13:40:00,0.40558,875.0,-0.5590872031993759,12.459043289758405
9,long,2024-12-03 16:10:00,0.40929,2024-12-04 10:10:00,0.41686,1080.0,0.23043552909543696,12.689478818853841
10,long,2024-12-04 22:40:00,0.42479,2024-12-05 01:15:00,0.41324,155.0,-0.3450257312030931,12.344453087650747
11,long,2024-12-06 01:45:00,0.43874,2024-12-08 08:10:00,0.46288,3265.0,0.6792065859868919,13.023659673637638
12,long,2024-12-08 17:55:00,0.46613,2024-12-10 00:05:00,0.40758,1810.0,-1.63588542657946,11.387774247058179
