Metric,Value
Start Date: ,2024-12-23 03:00:00
Stop Date:  ,
Ratio positive profit to all trades (%): ,25.0
Ratio positive profit to long trades (%): ,25.0
Ratio positive profit to short trades (%): ,0
Total positive trades: ,1
Total positive trades (long):  ,1
Total positive trades (short): ,0
Total profit (long): ,0.014805840042860842
Total loss  (long): ,-0.10424014572547176
Ratio (%) profit/loss (long): ,14.2
PL (long): ,-0.08943430568261092
Total profit (short): ,0
Total loss  (short): ,0
Ratio (%) profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,50.0
Max profit trade: ,0.014805840042860842
Min profit trade: ,-0.10406072824974263
Max profit trade (long): ,0.014805840042860842
Min profit trade (long): ,-0.10406072824974263
Max profit trade (short): ,
Min profit trade (short): ,
Max duration (long): ,41
Mean duration (long): ,21.0
Max duration  (short): ,
Mean duration (short): ,
Balance: ,
Total Deals: ,4
