Metric,Value
Start Date: ,2024-12-23 11:10:00
Stop Date:  ,2024-12-23 14:30:00
Ratio positive profit to all trades (%): ,25.0
Ratio positive profit to long trades (%): ,25.0
Ratio positive profit to short trades (%): ,0
Total positive trades: ,1
Total positive trades (long):  ,1
Total positive trades (short): ,0
Total profit (long): ,0.021109498288446518
Total loss  (long): ,-0.12104999154673447
Ratio (%) profit/loss (long): ,17.44
PL (long): ,-0.09994049325828795
Total profit (short): ,0
Total loss  (short): ,0
Ratio (%) profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,25.0
Max profit trade: ,0.021109498288446518
Min profit trade: ,-0.07449056603773453
Max profit trade (long): ,0.021109498288446518
Min profit trade (long): ,-0.07449056603773453
Max profit trade (short): ,
Min profit trade (short): ,
Max duration (long): ,27
Mean duration (long): ,12.75
Max duration  (short): ,
Mean duration (short): ,
Balance: ,9.900059506741712
Total Deals: ,4
