Metric,Value
Start Date: ,2024-12-15 23:35:00
Stop Date:  ,2024-12-16 17:25:00
Ratio positive profit to all trades (%): ,40.0
Ratio positive profit to long trades (%): ,40.0
Ratio positive profit to short trades (%): ,0
Total positive trades: ,2
Total positive trades (long):  ,2
Total positive trades (short): ,0
Total profit (long): ,0.1695147268003551
Total loss  (long): ,-0.05401406604096507
Ratio (%) profit/loss (long): ,313.83
PL (long): ,0.11550066075939003
Total profit (short): ,0
Total loss  (short): ,0
Ratio (%) profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,40.0
Max profit trade: ,0.14240910683012237
Min profit trade: ,-0.04579963000315713
Max profit trade (long): ,0.14240910683012237
Min profit trade (long): ,-0.04579963000315713
Max profit trade (short): ,
Min profit trade (short): ,
Max duration (long): ,212
Mean duration (long): ,104.25
Max duration  (short): ,
Mean duration (short): ,
Balance: ,10.11550066075939
Total Deals: ,5
