Metric,Value
Start Date: ,2024-11-20 03:10:00
Stop Date:  ,2024-12-18 06:50:00
Ratio positive profit to all trades (%): ,42.86
Ratio positive profit to long trades (%): ,42.86
Ratio positive profit to short trades (%): ,0
Total positive trades: ,3
Total positive trades (long):  ,3
Total positive trades (short): ,0
Total profit (long): ,0.1608599042523905
Total loss  (long): ,-0.3213533904682843
Ratio (%) profit/loss (long): ,50.06
PL (long): ,-0.16049348621589382
Total profit (short): ,0
Total loss  (short): ,0
Ratio (%) profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,42.86
Max profit trade: ,0.0871952282855308
Min profit trade: ,-0.17207318768077337
Max profit trade (long): ,0.0871952282855308
Min profit trade (long): ,-0.17207318768077337
Max profit trade (short): ,
Min profit trade (short): ,
Max duration (long): ,2115
Mean duration (long): ,321.0
Max duration  (short): ,
Mean duration (short): ,
Balance: ,9.839506513784105
Total Deals: ,7
