Metric,Value
Start Date: ,2024-12-24 04:25:00
Stop Date:  ,2024-12-24 04:45:00
Ratio positive profit to all trades (%): ,0.0
Ratio positive profit to long trades (%): ,0.0
Ratio positive profit to short trades (%): ,0
Total positive trades: ,0
Total positive trades (long):  ,0
Total positive trades (short): ,0
Total profit (long): ,0
Total loss  (long): ,-0.059700515142247584
Ratio (%) profit/loss (long): ,0.0
PL (long): ,-0.059700515142247584
Total profit (short): ,0
Total loss  (short): ,0
Ratio (%) profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,50.0
Max profit trade: ,-0.0025852534562214955
Min profit trade: ,-0.05711526168602609
Max profit trade (long): ,-0.0025852534562214955
Min profit trade (long): ,-0.05711526168602609
Max profit trade (short): ,
Min profit trade (short): ,
Max duration (long): ,10
Mean duration (long): ,7.0
Max duration  (short): ,
Mean duration (short): ,
Balance: ,9.940299484857753
Total Deals: ,2
