Metric,Value
Start Date: ,2024-12-20 03:20:00
Stop Date:  ,2024-12-24 15:30:00
Ratio positive profit to all trades (%): ,50.0
Ratio positive profit to long trades (%): ,50.0
Ratio positive profit to short trades (%): ,0
Total positive trades: ,5
Total positive trades (long):  ,5
Total positive trades (short): ,0
Total profit (long): ,0.4578567441415448
Total loss  (long): ,-1.7606573937055285
Ratio profit/loss (long): ,0.26
PL (long): ,-1.3028006495639837
Total profit (short): ,0
Total loss  (short): ,0
Ratio profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,60.0
Max profit trade: ,0.153183887353605
Max loss trade: ,-1.4114311309362455
Max profit trade (long): ,0.153183887353605
Max loss trade (long): ,-1.4114311309362455
Max profit trade (short): ,
Max loss trade (short): ,
Max duration (long): ,6900
Mean duration (long): ,805.7
Max duration  (short): ,
Mean duration (short): ,
Balance: ,8.697199350436016
Total Profit (%): ,-13.03
Total Trades: ,10
