Metric,Value
Start Date: ,2024-12-24 04:40:00
Stop Date:  ,
Ratio positive profit to all trades (%): ,60.0
Ratio positive profit to long trades (%): ,60.0
Ratio positive profit to short trades (%): ,0
Total positive trades: ,3
Total positive trades (long):  ,3
Total positive trades (short): ,0
Total profit (long): ,0.12272102629613688
Total loss  (long): ,-0.07483308631269227
Ratio (%) profit/loss (long): ,163.99
PL (long): ,0.04788793998344461
Total profit (short): ,0
Total loss  (short): ,0
Ratio (%) profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,60.0
Max profit trade: ,0.06805942284171022
Min profit trade: ,-0.07483308631269227
Max profit trade (long): ,0.06805942284171022
Min profit trade (long): ,-0.07483308631269227
Max profit trade (short): ,
Min profit trade (short): ,
Max duration (long): ,73
Mean duration (long): ,30.75
Max duration  (short): ,
Mean duration (short): ,
Balance: ,
Total Deals: ,5
