Metric,Value
Start Date: ,2024-12-25 16:55:00
Stop Date:  ,2024-12-27 18:05:00
Ratio positive profit to all trades (%): ,14.29
Ratio positive profit to long trades (%): ,14.29
Ratio positive profit to short trades (%): ,0
Total positive trades: ,2
Total positive trades (long):  ,2
Total positive trades (short): ,0
Total profit (long): ,0.19729271447640456
Total loss  (long): ,-0.5279247464658559
Ratio profit/loss (long): ,0.37
PL (long): ,-0.3306320319894513
Total profit (short): ,0
Total loss  (short): ,0
Ratio profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,21.43
Max profit trade: ,0.18294272923572788
Max loss trade: ,-0.16064208945442976
Max profit trade (long): ,0.18294272923572788
Max loss trade (long): ,-0.16064208945442976
Max profit trade (short): ,
Max loss trade (short): ,
Max duration (long): ,181
Mean duration (long): ,28.57
Max duration  (short): ,
Mean duration (short): ,
Balance: ,9.66936796801055
Total Profit (%): ,-3.31
Total Trades: ,14
