Metric,Value
Start Date: ,2024-12-19 19:50:00
Stop Date:  ,2024-12-26 11:15:00
Ratio positive profit to all trades (%): ,50.0
Ratio positive profit to long trades (%): ,50.0
Ratio positive profit to short trades (%): ,0
Total positive trades: ,24
Total positive trades (long):  ,24
Total positive trades (short): ,0
Total profit (long): ,1.4385056812011072
Total loss  (long): ,-1.5102682072358153
Ratio profit/loss (long): ,0.95
PL (long): ,-0.07176252603470812
Total profit (short): ,0
Total loss  (short): ,0
Ratio profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,54.17
Max profit trade: ,0.22547379525174696
Max loss trade: ,-0.361589083093342
Max profit trade (long): ,0.22547379525174696
Max loss trade (long): ,-0.361589083093342
Max profit trade (short): ,
Max loss trade (short): ,
Max duration (long): ,90
Mean duration (long): ,12.6
Max duration  (short): ,
Mean duration (short): ,
Balance: ,9.928237473965297
Total Profit (%): ,-0.72
Total Trades: ,48
