,type,open_ts,open_price,close_ts,close_price,duration,profit,diff_PCT,balance
34,short,2024-12-03 18:20:00,0.40789,2024-12-03 23:30:00,0.41002,62,-0.05462445708910154,-0.522199612640668,9.430348171142526
35,long,2024-12-03 23:30:00,0.41002,2024-12-03 23:35:00,0.41038,1,-0.01401359582114984,0.08780059509292887,9.416334575321377
36,short,2024-12-03 23:35:00,0.41038,2024-12-04 09:10:00,0.41922,115,-0.1619024439173033,-2.1541010770505284,9.254432131404075
37,long,2024-12-04 09:10:00,0.41922,2024-12-04 09:15:00,0.41968,1,-0.012333150042700984,0.10972758933257383,9.242098981361373
38,short,2024-12-04 09:15:00,0.41968,2024-12-04 09:50:00,0.41843,7,-0.00012008474491359902,0.29784597788790823,9.241978896616459
39,long,2024-12-04 09:50:00,0.41843,2024-12-04 10:05:00,0.41766,3,-0.03130129240504933,-0.18402122218771322,9.21067760421141
40,short,2024-12-04 10:05:00,0.41766,2024-12-04 12:20:00,0.41048,27,0.09160705388890038,1.719101661638645,9.30228465810031
41,long,2024-12-04 12:20:00,0.41048,2024-12-04 12:35:00,0.41247,3,0.012001755634002206,0.48479828493470856,9.314286413734314
42,short,2024-12-04 12:35:00,0.41247,2024-12-04 16:20:00,0.40531,45,0.0937328118488354,1.7358838218537107,9.408019225583148
43,long,2024-12-04 16:20:00,0.40531,2024-12-04 18:05:00,0.41051,21,0.06465002052568963,1.282968591941966,9.472669246108838
44,short,2024-12-04 18:05:00,0.41051,2024-12-04 21:35:00,0.42518,42,-0.25709051857066123,-3.5736035662955876,9.215578727538176
45,long,2024-12-04 21:35:00,0.42518,2024-12-04 21:50:00,0.42369,3,-0.041936648636568326,-0.35043981372594935,9.173642078901608
46,short,2024-12-04 21:50:00,0.42369,2024-12-04 22:35:00,0.42526,9,-0.043083748361816054,-0.3705539427411588,9.130558330539792
47,long,2024-12-04 22:35:00,0.42526,2024-12-04 22:40:00,0.42479,1,-0.02623091363380591,-0.11052062267789727,9.104327416905987
48,short,2024-12-04 22:40:00,0.42479,2024-12-04 22:55:00,0.41909,3,0.06648225110913811,1.3418394971633,9.170809668015124
49,long,2024-12-04 22:55:00,0.41909,2024-12-04 23:10:00,0.42422,3,0.05924339981963457,1.2240807463790517,9.230053067834758
50,short,2024-12-04 23:10:00,0.42422,2024-12-04 23:20:00,0.42173,2,0.018578489801555943,0.5869595964358097,9.248631557636314
51,long,2024-12-04 23:20:00,0.42173,2024-12-04 23:35:00,0.42552,3,0.03870056574254292,0.8986792497569572,9.287332123378857
52,short,2024-12-04 23:35:00,0.42552,2024-12-05 01:00:00,0.42495,17,-0.010786178144502577,0.13395375070502324,9.276545945234353
53,long,2024-12-05 01:00:00,0.42495,2024-12-05 02:40:00,0.43577,20,0.14569232900674983,2.546181903753382,9.422238274241103
54,short,2024-12-05 02:40:00,0.43577,2024-12-05 03:50:00,0.43999,14,-0.08372209095802527,-0.9684007618697942,9.338516183283078
55,long,2024-12-05 03:50:00,0.43999,2024-12-05 04:10:00,0.44229,4,0.01452620104892619,0.5227391531625775,9.353042384332005
56,short,2024-12-05 04:10:00,0.44229,2024-12-05 04:20:00,0.44425,2,-0.04868388719935582,-0.44314816070902835,9.304358497132649
57,long,2024-12-05 04:20:00,0.44425,2024-12-05 04:55:00,0.46408,7,0.27089336600441727,4.463702870005631,9.575251863137066
58,short,2024-12-05 04:55:00,0.46408,2024-12-05 05:00:00,0.45926,1,0.04957652264320185,1.0386140320634354,9.624828385780267
59,long,2024-12-05 05:00:00,0.45926,2024-12-05 10:30:00,0.44607,66,-0.21351696573351814,-2.872011496755646,9.411311420046749
60,short,2024-12-05 10:30:00,0.44607,2024-12-05 13:20:00,0.44794,34,-0.04740902502809862,-0.41921671486537593,9.36390239501865
61,long,2024-12-05 13:20:00,0.44794,2024-12-05 13:35:00,0.45103,3,0.025506735808395985,0.6898245300709875,9.389409130827046
62,short,2024-12-05 13:35:00,0.45103,2024-12-05 14:25:00,0.44989,10,-0.003088618685442239,0.25275480566702313,9.386320512141603
63,long,2024-12-05 14:25:00,0.44989,2024-12-05 14:35:00,0.44957,2,-0.02438004379483983,-0.07112849807730488,9.361940468346763
64,short,2024-12-05 14:35:00,0.44957,2024-12-05 14:40:00,0.45171,1,-0.05088593749304723,-0.4760104099472774,9.311054530853715
65,long,2024-12-05 14:40:00,0.45171,2024-12-05 14:45:00,0.45285,1,-0.0031205668113869767,0.25237431095171114,9.307933964042329
66,short,2024-12-05 14:45:00,0.45285,2024-12-05 15:00:00,0.45159,3,-0.0013997973429456384,0.27823782709506095,9.306534166699382
67,long,2024-12-05 15:00:00,0.45159,2024-12-05 18:10:00,0.4448,38,-0.11739735654585273,-1.5035762527956815,9.18913681015353
68,short,2024-12-05 18:10:00,0.4448,2024-12-05 20:00:00,0.42883,22,0.2118810630608793,3.5903776978417232,9.401017873214409
69,long,2024-12-05 20:00:00,0.42883,2024-12-05 21:50:00,0.43472,22,0.07055386856323874,1.3735046521931784,9.471571741777648
70,short,2024-12-05 21:50:00,0.43472,2024-12-05 22:30:00,0.42269,8,0.16376783732337508,2.7672984909826983,9.635339579101023
