,type,open_ts,open_price,close_ts,close_price,duration,profit,balance
0,long,2024-11-20 02:30:00,0.38442,2024-11-20 05:25:00,0.38924,175,0.0666808178554702,10.06668081785547
1,short,2024-11-20 05:25:00,0.38924,2024-11-20 05:35:00,0.38742,10,0.011841617372499233,10.078522435227969
2,long,2024-11-20 05:35:00,0.38742,2024-11-20 05:55:00,0.39027,20,0.030682053497815887,10.109204488725785
3,short,2024-11-20 05:55:00,0.39027,2024-11-20 06:35:00,0.38829,40,0.01470827474206051,10.123912763467846
4,long,2024-11-20 06:35:00,0.38829,2024-11-20 06:50:00,0.3881,15,-0.024724467536352768,10.099188295931492
5,short,2024-11-20 06:50:00,0.3881,2024-11-20 07:30:00,0.38842,40,-0.027043081292279274,10.072145214639214
6,long,2024-11-20 07:30:00,0.38842,2024-11-20 07:55:00,0.39026,25,0.012214310695771948,10.084359525334985
7,short,2024-11-20 07:55:00,0.39026,2024-11-20 09:35:00,0.39088,100,-0.032402975343564566,10.05195654999142
8,long,2024-11-20 09:35:00,0.39088,2024-11-20 09:40:00,0.39164,5,-0.007441760096287411,10.044514789895132
9,short,2024-11-20 09:40:00,0.39164,2024-11-20 09:55:00,0.38986,15,0.010895031078994259,10.055409820974127
10,long,2024-11-20 09:55:00,0.38986,2024-11-20 10:10:00,0.39129,15,0.00467597448487724,10.060085795459004
11,short,2024-11-20 10:10:00,0.39129,2024-11-20 10:15:00,0.39223,5,-0.03806031084046563,10.022025484618538
12,long,2024-11-20 10:15:00,0.39223,2024-11-20 10:20:00,0.39341,5,3.809713687733321e-05,10.022063581755416
13,short,2024-11-20 10:20:00,0.39341,2024-11-20 10:30:00,0.39274,10,-0.009086677774085823,10.01297690398133
14,long,2024-11-20 10:30:00,0.39274,2024-11-20 11:25:00,0.38781,55,-0.10892313302900138,9.904053770952329
15,short,2024-11-20 11:25:00,0.38781,2024-11-20 11:30:00,0.38784,5,-0.02133535599761882,9.88271841495471
16,long,2024-11-20 11:30:00,0.38784,2024-11-20 14:05:00,0.39485,155,0.1041586385927254,9.986877053547435
