,type,open_ts,open_price,close_ts,close_price,duration,profit,diff_PCT,balance
53,short,2024-11-23 06:40:00,0.46329,2024-11-23 07:35:00,0.45832,55,0.049277077044016765,1.0727622007813626,9.146284541957295
54,long,2024-11-23 07:35:00,0.45832,2024-11-23 07:50:00,0.46067,15,0.013587776352290219,0.5127421888636802,9.159872318309585
55,short,2024-11-23 07:50:00,0.46067,2024-11-23 07:55:00,0.46184,5,-0.03553685276654096,-0.2539779017517852,9.124335465543044
56,long,2024-11-23 07:55:00,0.46184,2024-11-23 09:00:00,0.46002,65,-0.04430569779939402,-0.3940758704313157,9.08002976774365
57,short,2024-11-23 09:00:00,0.46002,2024-11-23 10:55:00,0.47564,115,-0.23510285779505233,-3.3955045432807323,8.844926909948597
58,long,2024-11-23 10:55:00,0.47564,2024-11-23 11:00:00,0.47468,5,-0.03105825680565722,-0.20183331931713405,8.81386865314294
59,short,2024-11-23 11:00:00,0.47468,2024-11-23 11:20:00,0.4752,20,-0.025274642916720283,-0.10954748462122281,8.78859401022622
60,long,2024-11-23 11:20:00,0.4752,2024-11-23 11:45:00,0.47232,25,-0.05570370676299771,-0.6060606060606046,8.732890303463222
61,short,2024-11-23 11:45:00,0.47232,2024-11-23 11:55:00,0.46994,10,0.012494992525700604,0.5038956639566381,8.745385295988923
62,long,2024-11-23 11:55:00,0.46994,2024-11-23 12:25:00,0.4748,30,0.044881166973621,1.0341745754777154,8.790266462962544
63,short,2024-11-23 12:25:00,0.4748,2024-11-23 12:30:00,0.47408,5,-0.009119364560361902,0.15164279696714372,8.781147098402181
64,long,2024-11-23 12:30:00,0.47408,2024-11-23 13:20:00,0.47263,50,-0.0372219467073812,-0.30585555180560386,8.7439251516948
65,short,2024-11-23 13:20:00,0.47263,2024-11-23 14:30:00,0.46438,70,0.0885853989282382,1.745551488479356,8.832510550623038
66,long,2024-11-23 14:30:00,0.46438,2024-11-23 21:40:00,0.43466,430,-0.4138447921306107,-6.399931090916927,8.418665758492427
67,short,2024-11-23 21:40:00,0.43466,2024-11-23 22:25:00,0.43719,45,-0.052014923752771586,-0.5820641420880762,8.366650834739655
68,long,2024-11-23 22:25:00,0.43719,2024-11-23 22:30:00,0.43338,5,-0.0685581959404336,-0.8714746448912453,8.298092638799222
69,short,2024-11-23 22:30:00,0.43338,2024-11-23 23:05:00,0.43444,35,-0.03164755973305759,-0.2445890442567736,8.266445079066164
70,long,2024-11-23 23:05:00,0.43444,2024-11-23 23:15:00,0.43266,10,-0.04104448673755122,-0.40972286161495347,8.225400592328613
71,short,2024-11-23 23:15:00,0.43266,2024-11-23 23:20:00,0.42919,5,0.028951124934645016,0.8020154393750226,8.254351717263258
72,long,2024-11-23 23:20:00,0.42919,,,,,,
